,T-FAP_1_corr,T-FAP_1_qval
Ctsl,0.1589000045853954,3.418085620273752e-22
Il17d,0.15866866421707732,3.960244170369117e-22
Fry,0.15866407637394966,3.967374469121086e-22
Smim1,0.15827600506499495,5.084218548898696e-22
Gaa,0.15823736472468294,5.194272113333625e-22
Ptprb,0.15813743318914172,5.520343227878956e-22
Tiparp,0.1579590426828627,6.163245694550728e-22
C1s2,0.1569281472780136,1.1836169919197284e-21
Tpst1,0.15600569973905418,2.11248608320673e-21
Kcnj8,0.15548180661215338,2.914346225360508e-21
Itga1,0.15479255891579477,4.462068865699308e-21
H2-T23,0.15466927664153565,4.805990905919933e-21
Phlda1,0.15466210653486506,4.822384131832397e-21
Gucy1a2,0.15454637694245008,5.174899652503688e-21
Maob,0.15442960784646945,5.56263356344001e-21
Nr2f1,0.1542113473346133,6.351133125000721e-21
Dnaja1,0.1541832321519075,6.4570033583411916e-21
Vwc2,0.15366870312361575,8.83252941338395e-21
Aoc3,0.15348933424679143,9.857760269234767e-21
Kcnq4,0.15286563580838447,1.4426111748127983e-20
Hexb,0.1527341962524288,1.563626730083701e-20
Ank2,0.15258277493237954,1.715801980425367e-20
Pdgfrl,0.15238550188111402,1.932698142806085e-20
Ggt5,0.1522446846654961,2.0962192013681616e-20
Zfand5,0.15174831784663972,2.8259645687500715e-20
Olfm2,0.1517112681192696,2.888211042098097e-20
Mef2c,0.15134531440948346,3.5953293918903585e-20
Frmd3,0.15129014618918804,3.7115892001759144e-20
Abca1,0.15111042308668426,4.1275668456399377e-20
D030045P18Rik,0.1506784670031664,5.3454203766533415e-20
Edn3,0.15032260158661384,6.610275315344869e-20
Foxp2,0.14961763580663806,1.0072373956212413e-19
Rpl39,0.14961169604605418,1.0098493703043337e-19
Ksr1,0.14940361604204003,1.1400218171073492e-19
Mcl1,0.1491869570940449,1.2947815418398016e-19
Csmd1,0.14914053289260173,1.3303606856866e-19
Dpyd,0.14865866632731597,1.7677769393433476e-19
B2m,0.14827385052615752,2.2159158678966106e-19
Rpl36a,0.1473847791768084,3.7295125784839575e-19
Sfrp1,0.14731676424664722,3.8691295437716805e-19
P2ry1,0.1468241935065457,5.136156861045457e-19
Rpl36,0.1466637839221004,5.640021979998176e-19
B3gnt2,0.14662693128264798,5.759502765002597e-19
Gas5,0.1462913894452869,7.016901102015345e-19
1010001N08Rik,0.14608791002683896,7.8865976243385745e-19
Fgf10,0.14453950512615787,1.91497752496671e-18
Pcdh18,0.14440843037671083,2.0639818941778378e-18
Rbp4,0.14428595309732914,2.2132658228655343e-18
Mitf,0.1441275937780092,2.4212573635225077e-18
Gpm6b,0.14406543102744263,2.5084940600922183e-18
Plcb4,0.1438212487736667,2.8740849236423308e-18
Cdh11,0.14336832655944126,3.713938488050757e-18
Egr1,0.14329497856484377,3.865051828236873e-18
Gpc6,0.14327526906823473,3.9059946581680485e-18
Mctp2,0.1424817216139546,6.129356321175237e-18
Arid5b,0.1424555436829136,6.217106484802569e-18
Agtr2,0.14236915648167678,6.523236603196913e-18
Auts2,0.14232979827956932,6.667069475869961e-18
