,TSPC_corr,TSPC_qval
Chst15,0.17618273401705198,3.47054091490275e-27
Ldlrad4,0.1761397448707576,3.57410453518375e-27
Arpc5,0.17611696583454775,3.627462374085955e-27
Galnt16,0.1758006127018345,4.534514494103576e-27
Ssu72,0.17525641954314972,6.662691702774306e-27
AI506816,0.17485989064135288,8.810884793714913e-27
Adamts5,0.174576282281091,1.075844999955008e-26
Lurap1l,0.17435324555139128,1.257648141238593e-26
Osr2,0.17433863483504194,1.2688269987040611e-26
Pts,0.1737754500871467,1.8833442919321128e-26
Ptgfrn,0.17360564660008135,2.1216393220338833e-26
Sulf1,0.17348318138059957,2.3108203556770736e-26
Mrpl20,0.17341687705221825,2.4183963895529722e-26
Tex264,0.17334623239251742,2.538742500529065e-26
Clip1,0.17327916774063287,2.654141678155127e-26
Wnk1,0.1731615908202393,2.8803418798938225e-26
Sox5,0.1731419624525565,2.916156980518484e-26
Adk,0.17307069850267423,3.0623933417967193e-26
Psmb5,0.17289419134650222,3.464535560579233e-26
Mrpl53,0.17287926592886538,3.4959112818127884e-26
Tnfaip1,0.17279828779883885,3.6905674136541585e-26
Prune2,0.1727490372720859,3.8154493720340845e-26
Snx6,0.17256142526815765,4.342776748087072e-26
Mcf2l,0.1725134868651258,4.485376230342917e-26
Bag5,0.17249529927717308,4.5363899559993964e-26
Emp1,0.17209883015812918,5.971469074391463e-26
Gpsm2,0.17167660574041377,7.998662633102577e-26
Vps29,0.17163923492007413,8.198893418719039e-26
Mtmr11,0.1714076216948716,9.601709847172785e-26
Reep3,0.17112357683262272,1.1662296942471812e-25
Dctn2,0.17091477924051077,1.3435257581717572e-25
Snf8,0.17077247460217956,1.4817206839296218e-25
Sema4f,0.1706007854882349,1.665352858695813e-25
Arpc4,0.17050140221616322,1.7821941297695846e-25
Stk38l,0.1702359246139079,2.1377799922305363e-25
Drap1,0.1699417817097977,2.615104709661661e-25
Rin3,0.16992335560114402,2.644895504368774e-25
Pgd,0.16974597106618297,2.9783041763371874e-25
Galnt18,0.16969225629263668,3.086841126870497e-25
Tbcb,0.1696037105533024,3.277480915504462e-25
Chmp3,0.16914884855513973,4.464086972787119e-25
Gamt,0.16908426332648607,4.661057053074203e-25
Dph3,0.16865568154500216,6.246533109144643e-25
Coro2b,0.16858638658153485,6.52367670834542e-25
Arl6ip5,0.16854457042369062,6.704612842190631e-25
Pfn1,0.16839087543916764,7.44190531247788e-25
Acaa2,0.16808081259034086,9.182718302573502e-25
Myl12a,0.1679178896421102,1.0254127443974087e-24
Itgb1,0.16779738633528773,1.1121281380821866e-24
C1qtnf3,0.16742328727584047,1.4285220525401747e-24
Dynlt3,0.16734287772808254,1.50709065826368e-24
Nme2,0.1673214222795467,1.5271858172342224e-24
Ebf1,0.16700040457810705,1.8959079317446175e-24
Cltb,0.16683745656311202,2.1155834564915364e-24
Nt5c,0.1667808663987541,2.1956133700699938e-24
Psmc2,0.16668704750756674,2.337110737194256e-24
Ywhaq,0.1666683650695402,2.3636936280429284e-24
Gltp,0.16634311166646032,2.940237008755704e-24
Anp32a,0.1662879879683,3.048088401214422e-24
Psmd13,0.16626223651877306,3.097506724752129e-24
Inpp1,0.16619400127494352,3.2307778408592463e-24
Clic4,0.16615598796180328,3.3105646888300506e-24
Itpr3,0.16597544231069333,3.731160125381788e-24
Mindy2,0.16588861373221464,3.9383163933906164e-24
Gnb1,0.1658190580184809,4.108156972658399e-24
Tmem63a,0.1657691753133105,4.243368852346488e-24
Hist1h2bc,0.16539455209265036,5.450740865519796e-24
Rhoc,0.16523891408747643,6.037637318755037e-24
Scd2,0.16522032654390664,6.105474578246026e-24
Palmd,0.16513879154870714,6.424205856800964e-24
Sdhb,0.1650999082658269,6.585810321563859e-24
Ankrd29,0.16507417031435562,6.691942995266595e-24
Serinc5,0.16452968875596852,9.585471192414696e-24
Wasf2,0.16440727712202557,1.0391970153096864e-23
Mtcl1,0.1643961439653099,1.0455865728594592e-23
Lamtor1,0.16430629684840384,1.1090174600188548e-23
Tcfl5,0.16406637377887218,1.3005775308358029e-23
Anxa7,0.16389886729517464,1.450885430221814e-23
Cbx5,0.1635670533780775,1.8059303122896948e-23
Cmah,0.16354292019476743,1.8328051282835293e-23
Chmp5,0.16346445898724854,1.9261386999071003e-23
Cdkn1a,0.16338986023748653,2.02077923553755e-23
Ece1,0.1633885259055631,2.02077923553755e-23
Tmem234,0.16333640101458116,2.0894258980484255e-23
Nabp2,0.16321890681623438,2.2505541315042365e-23
Adam10,0.16306975865561205,2.4787929361544872e-23
Slc38a1,0.1630484050288985,2.5109550150078727e-23
Lefty1,0.16297146086389183,2.6392561552360782e-23
Rtn4,0.16292398966989696,2.72027347309024e-23
Matn2,0.16284214483498594,2.864759043940585e-23
Lrrc8b,0.16266139157375217,3.2214164709585693e-23
Sulf2,0.1623470164422028,3.9621153898714844e-23
Chn2,0.1622862590490794,4.119307834828703e-23
Xpnpep1,0.16225119770656393,4.2105180257152185e-23
Aldh1a3,0.16217961367209477,4.408912594494421e-23
Cd276,0.1621762413554703,4.4130721850787945e-23
Sri,0.1621729082736441,4.4171282257104505e-23
Nckap1,0.16212164994949846,4.563469022657817e-23
Pdlim4,0.1620109390140198,4.9034120248151826e-23
Trim16,0.16182822599734834,5.517631389256882e-23
Sestd1,0.16178236911522095,5.679774137183581e-23
Pdcd6ip,0.16164905141116678,6.1856080800441e-23
Ube2m,0.16158932638673226,6.425601679484248e-23
Zcrb1,0.16145602182813334,7.005972491841911e-23
Abhd17a,0.16138917600480726,7.311619181232386e-23
Ppia,0.16108558845916163,8.91425298882975e-23
Tmem167,0.1610604621652039,9.051010397275825e-23
Engase,0.1610308319552596,9.205429522632557e-23
Fam20a,0.16100694947716399,9.339020388199903e-23
Pitpna,0.16052152505793976,1.278616421766435e-22
Slc29a1,0.16038252715726464,1.3967169416297374e-22
Micos10,0.15981394855745132,2.018589169765009e-22
Tgfb1i1,0.15975430783831226,2.0932482574255985e-22
Ackr4,0.1597182694115631,2.1402391949128123e-22
