source,target,ligand_complex,receptor_complex,rank_innervated,rank_denervated,delta_rank
TSPC,Smooth_muscle,Col1a2,Itga1_Itgb1,9.967837159498319e-07,7.549389273735777e-07,-2.418447885762542e-07
Tenogenic-progenitor,T-FAP,Col1a2,Cd44,1.0022221708737264e-06,2.5419156418416338e-05,2.441693424754261e-05
Stromal_other,Smooth_muscle,Col3a1,Itga1_Itgb1,1.010119920469566e-06,4.372068815005633e-06,3.361948894536067e-06
TSPC,Stromal,Sparc,Fgfr1,1.020100525329929e-06,7.882092866157586e-07,-2.3189123871417036e-07
Tenocyte,Smooth_muscle,Col1a1,Cd44,1.0381900282593525e-06,4.370540866396127e-06,3.332350838136775e-06
T-FAP,T-FAP,Col1a1,Cd44,1.0750074174918926e-06,2.5872603292763418e-05,2.4797595875271526e-05
Macrophage,Macrophage,Apoe,Abca1,1.1211122400929245e-06,5.979622691991034e-06,4.85851045189811e-06
Stromal_other,Stromal,Col1a2,Cd44,1.135531918682748e-06,2.4767902862482953e-05,2.3632370943800206e-05
Stromal_other,Smooth_muscle,Col1a2,Itga1_Itgb1,1.1795309555873854e-06,1.251071500245709e-06,7.154054465832351e-08
Stromal_other,Macrophage,Vim,Cd44,1.255360554488807e-06,2.1568749665655055e-05,2.0313389111166248e-05
T-FAP,T-FAP,Col1a2,Cd44,1.2931296593418744e-06,3.1914159019783906e-05,3.062102936044203e-05
Tenocyte,Endothelial,Sparc,Eng,1.379213193405356e-06,6.216592916990575e-08,-1.3170472642354504e-06
Stromal,T-FAP,Col1a1,Cd44,1.4013143847116012e-06,2.8220624651612185e-05,2.6819310266900583e-05
Macrophage,Tenocyte,Apoe,Lrp1,1.450444236222119e-06,4.40736426140868e-06,2.9569200251865613e-06
TSPC,Stromal_other,Fn1,Cd44,1.5196960372232622e-06,2.0174956209806716e-05,1.8655260172583452e-05
Smooth_muscle,Macrophage,Vim,Cd44,1.5373463403352176e-06,8.44788823641278e-05,8.294153602379258e-05
Tenogenic-progenitor,Endothelial,Sparc,Eng,1.538891049689371e-06,1.044052658411095e-07,-1.4344857838482613e-06
Stromal_other,T-FAP,Col1a1,Cd44,1.5626602511128964e-06,2.9363181170004237e-05,2.780052091889134e-05
Stromal,Tenogenic-progenitor,Sparc,Fgfr1,1.58667266962575e-06,1.2057217737502925e-06,-3.8095089587545757e-07
TSPC,Tenogenic-progenitor,Sparc,Fgfr1,1.660181549438286e-06,1.7493228140155343e-06,8.914126457724818e-08
Tenogenic-progenitor,Smooth_muscle,Col1a1,Cd44,1.7104261430698318e-06,7.734034508890141e-06,6.023608365820309e-06
T-FAP,Endothelial,Sparc,Eng,1.8404448389545204e-06,1.9153500476152043e-07,-1.648909834193e-06
TSPC,Stromal_other,Vim,Cd44,1.9195987832468984e-06,7.294597718623192e-05,7.102637840298502e-05
