source,target,ligand_complex,receptor_complex,rank_innervated,rank_denervated,delta_rank
TSPC,Stromal_other,Tfpi,Lrp1,0.4443175117387071,1.0,0.555682488261293
Tenogenic-progenitor,TSPC,Wnt5a,Ryk,0.4443175117387071,0.37826152604696617,-0.06605598569174093
T-FAP,Tenogenic-progenitor,Spon2,Itgb1,0.4443189981553582,0.7487048311525198,0.30438583299716165
Stromal_other,Stromal_other,Icam1,Egfr,0.44442611031734247,0.4460883027215475,0.0016621924042050096
Tenocyte,T-FAP,Actr2,Ldlr,0.4444804170713544,0.43164647925387484,-0.012833937817479546
Tenocyte,Smooth_muscle,Mdk,Sdc4,0.44448625028697764,0.5312719798345598,0.08678572954758212
TSPC,Tenocyte,Lama2,Dag1,0.4445347288022338,0.6794733039116142,0.23493857510938038
Tenogenic-progenitor,T-FAP,Tgfb3,Tgfbr1_Tgfbr2,0.4445890455102857,0.5084009734365063,0.06381192792622054
Stromal,TSPC,Wnt5a,Ptprk,0.4446350566908043,1.0,0.5553649433091957
Stromal_other,T-FAP,Vcl,Itgb5,0.44467440395004315,0.492169862113758,0.047495458163714865
Stromal_other,T-FAP,Ptn,Ptprs,0.4447371317910644,0.5778215623418322,0.13308443055076785
Stromal_other,TSPC,Tgfb1,Tgfbr1_Tgfbr2,0.44477919318808623,0.8451526590075895,0.4003734658195033
Stromal_other,TSPC,Tgfb1,Acvr1_Tgfbr1_Tgfbr2,0.44477919318808623,0.8197857324816444,0.3750065392935582
Endothelial,Endothelial,Lama5,Itga6_Itgb4,0.4448063621202944,0.49438508623131733,0.04957872411102293
Tenogenic-progenitor,Tenogenic-progenitor,Bsg,Slc16a1,0.44482090283178677,0.20386292353964455,-0.24095797929214222
Stromal_other,Tenogenic-progenitor,Plau,Igf2r,0.44486070371876757,0.3967546347192325,-0.04810606899953507
TSPC,T-FAP,Tgfb3,Tgfbr3,0.44486070371876757,0.6215788104298908,0.17671810671112326
Tenocyte,Tenocyte,Lefty1,Acvr1b,0.44489336333520363,0.2635591235362065,-0.18133423979899715
Endothelial,Smooth_muscle,Gas6,Axl,0.4449150502962369,0.6356737201602518,0.1907586698640149
Smooth_muscle,Smooth_muscle,Mfap5,Notch1,0.4449694018530074,0.5519875202296668,0.10701811837665942
TSPC,Smooth_muscle,Cxcl12,Itgav,0.44507811990566654,0.4554403969098131,0.010362277004146547
T-FAP,Tenocyte,Rgmb,Bmpr2,0.44507811990566654,0.34767574842822785,-0.09740237147743869
T-FAP,Tenocyte,Col12a1,Itga1_Itgb1,0.44513248640216413,0.7638410338576054,0.31870854745544125
Tenogenic-progenitor,TSPC,Tgfb3,Itgb5,0.44517636602486,0.2527689112806016,-0.1924074547442584
Stromal,Macrophage,Arf6,Smap1,0.44518685787917844,0.43190971443352844,-0.013277143445650008
T-FAP,T-FAP,Adam17,Itga5,0.44518685787917844,0.4911877800677757,0.04600092218859725
Endothelial,Tenogenic-progenitor,Col18a1,Gpc1,0.445239400195623,0.2713011210952361,-0.17393827910038695
Endothelial,Tenogenic-progenitor,Col5a1,Itga11_Itgb1,0.4452412343370144,0.6946893956075499,0.24944816127053554
TSPC,Macrophage,Vegfa,Nrp1,0.4452956157759765,0.5568137507314384,0.11151813495546187
Smooth_muscle,Tenocyte,Gdf11,Bmpr2,0.44535000219636717,0.35167579024112045,-0.09367421195524672
Stromal_other,Endothelial,Nampt,Itga5_Itgb1,0.44540439359849315,0.4524340646383152,0.00702967103982205
Stromal_other,Endothelial,Bgn,Ly96,0.44540686111451194,0.9128546291628445,0.4674477680483326
Macrophage,Endothelial,Igf1,Igf2r,0.4454587899826564,0.7565186090666634,0.3110598190840069
Stromal_other,Tenocyte,Psap,Ar,0.4454906048539574,0.3936825904527924,-0.051808014401165
Stromal_other,TSPC,Vegfa,Egfr,0.4455131913491623,0.6617485497515528,0.21623535840239055
Stromal_other,Macrophage,Col18a1,Itgb5,0.4455675976983151,0.5733036648612236,0.12773606716290853
TSPC,Stromal_other,Vegfa,Nrp1,0.44562200903041854,0.4893925102625747,0.043770501232156145
Endothelial,TSPC,Pam,Dpp4,0.44562200903041854,0.4426991309648982,-0.002922878065520329
Smooth_muscle,Stromal,Col5a2,Itga11_Itgb1,0.4456581188928458,0.46152406366175164,0.01586594476890585
Tenocyte,T-FAP,Lamb1,Dag1,0.44574145407385657,0.3405932688546389,-0.10514818521921765
TSPC,Stromal_other,Cxcl12,Itgb1,0.4457418891922859,0.5494179630109629,0.103676073818677
Stromal,Stromal,Wnt5b,Fzd8_Lrp5,0.4457973257513621,0.5560453239339136,0.11024799818255149
Stromal,Stromal,Wnt5b,Fzd2_Lrp5,0.4457973257513621,0.5560453239339136,0.11024799818255149
Stromal,Stromal,Wnt5b,Fzd1_Lrp5,0.4457973257513621,0.5560453239339136,0.11024799818255149
Stromal,Stromal,Wnt5b,Fzd7_Lrp5,0.4457973257513621,0.5560453239339136,0.11024799818255149
T-FAP,Stromal_other,Tgfb1,Itgb1,0.44582566834505516,0.4674244528101042,0.021598784465049037
Stromal_other,TSPC,Lrpap1,Ldlr,0.44583970419442626,0.42923035741074844,-0.016609346783677814
Stromal,Stromal,Tfpi,Sdc4,0.445894140445848,0.3189834225635028,-0.1269107178823452
TSPC,Endothelial,Col1a2,Sdc1,0.4459264491654129,0.4234896856730703,-0.022436763492342582
Tenogenic-progenitor,T-FAP,Mfge8,Pdgfrb,0.4459299063367648,0.3993611380989494,-0.04656876823781542
Macrophage,Tenocyte,Col6a1,Itga11_Itgb1,0.4460030279033254,1.0,0.5539969720966746
Tenocyte,Stromal,Tgfb2,Eng,0.4460030279033254,0.3732334463450004,-0.07276958155832502
Tenogenic-progenitor,T-FAP,Grn,Tnfrsf1b,0.4460574791099891,1.0,0.5539425208900108
Tenogenic-progenitor,Stromal_other,Tgfb1,Tgfbr3,0.4460574791099891,0.5182913160082352,0.07223383689824608
TSPC,Tenocyte,Clec11a,Itga11,0.4461119353023426,0.47407651988513194,0.02796458458278933
TSPC,Stromal_other,Col1a2,Itgb3,0.44618468543867473,0.43658139199129975,-0.009603293447374983
Stromal,Smooth_muscle,Serpine1,Lrp1,0.4462208626453351,0.7093189209476575,0.26309805830232236
Tenocyte,Tenogenic-progenitor,Fabp5,Rxra,0.4462561312545321,0.7026959538465509,0.2564398225920188
T-FAP,Macrophage,Spp1,Itgav_Itgb5,0.4462753337965824,1.0,0.5537246662034176
Macrophage,Stromal,Cklf,Lrp6,0.4462753337965824,0.7064203986194022,0.2601450648228198
T-FAP,Stromal,Gnai2,F2r,0.4463069452323493,0.5114997386868378,0.06519279345448853
Tenocyte,Smooth_muscle,Tgfb2,Eng,0.4463298099347364,0.5801719485486581,0.13384213861392164
Endothelial,Stromal,Col5a2,Itga11_Itgb1,0.44640145605386694,0.486587715012511,0.04018625895864408
Macrophage,Stromal_other,Lpl,Cd44,0.4464123703075229,0.4282092424967599,-0.018203127810762998
Stromal_other,Stromal_other,Igf1,Igf1r,0.44643266467745363,0.351363060082689,-0.0950696045947646
Endothelial,Tenogenic-progenitor,Irak4,Tlr4,0.44644290763924305,0.4209184603311596,-0.025524447308083453
Endothelial,Macrophage,Tnfsf12,Tnfrsf12a,0.4464932682736837,0.6098313096051557,0.16333804133147206
Stromal,Tenocyte,Serpine1,Lrp1,0.44649622028686625,0.31438432378748676,-0.1321118964993795
T-FAP,Tenocyte,Lpl,Cd44,0.44662128117000255,0.1336136968443858,-0.31300758432561676
Tenogenic-progenitor,Smooth_muscle,Apoe,Lrp6,0.4466639468054898,0.4980806650747002,0.051416718269210404
TSPC,Stromal_other,Tgfb2,Acvr1_Tgfbr1_Tgfbr2,0.44668402640961247,0.5798106574436288,0.13312663103401634
TSPC,Stromal_other,Tgfb2,Acvr1_Tgfbr2,0.44668402640961247,0.5798106574436288,0.13312663103401634
Stromal,Endothelial,Inhba,Tgfbr3,0.4467657986051392,1.0,0.5532342013948608
Stromal,Stromal,Pdgfa,Pdgfrb,0.4467657986051392,0.4866224525957492,0.03985665399061
Smooth_muscle,Smooth_muscle,Spp1,Itga5_Itgb1,0.44682031963915175,0.6545264564045803,0.20770613676542854
Tenocyte,Smooth_muscle,Col11a2,Itga1_Itgb1,0.4468317087373481,0.21217446498002754,-0.23465724375732058
Stromal,T-FAP,Lama2,Cd44,0.4468728394998272,0.4789194978987981,0.03204665839897092
Tenogenic-progenitor,Endothelial,Fam3c,Lifr,0.44687484566311475,0.4752069215054963,0.028332075842381566
Stromal,T-FAP,Vegfa,Nrp1,0.4469293766773331,0.570443733216536,0.12351435653920284
Tenocyte,Endothelial,Col4a1,Cd44,0.44698311022139164,1.0,0.5530168897786083
Stromal,Tenocyte,Vcl,Itgb5,0.4469986485246181,0.5516509109573727,0.1046522624327546
Stromal,Tenocyte,Spon2,Itga5,0.44703845367775386,0.44334319348649526,-0.003695260191258598
Endothelial,Smooth_muscle,Mmrn2,Cd248,0.4470615605019795,0.3274554513321835,-0.11960610916979597
Macrophage,Smooth_muscle,Plau,Igf2r,0.4470929996645646,0.4888144421585272,0.04172144249396259
Stromal_other,Tenocyte,Col2a1,Itgav_Itgb8,0.44721748980989884,0.9112324085889858,0.46401491877908696
TSPC,Macrophage,Plau,Lrp1,0.4472566675750544,0.7253522037237697,0.27809553614871535
Endothelial,Stromal,C1qb,C1qbp,0.4473112335295853,1.0,0.5526887664704148
TSPC,Macrophage,Thbs2,Itga4,0.44733520701212887,0.5925727679267622,0.1452375609146333
Stromal_other,Tenocyte,Tgfb2,Acvr1_Tgfbr2,0.44736580447680724,0.5453714005759347,0.09800559609912746
T-FAP,T-FAP,Sdc2,Ptprj,0.44736580447680724,1.0,0.5526341955231928
Smooth_muscle,Tenogenic-progenitor,Fbn1,Itga5,0.4473761950383985,0.6033260908441339,0.15594989580573543
Smooth_muscle,T-FAP,Vcan,Cd44,0.44741915437778096,0.7215438021642525,0.27412464778647155
TSPC,Tenogenic-progenitor,Apoe,Lrp5,0.4474203804170248,0.8996549961579963,0.45223461574097146
Stromal_other,Endothelial,Lamb2,Dag1,0.4474203804170248,0.6622563246118881,0.2148359441948633
T-FAP,Stromal,Apoe,Abca1,0.44743913687559617,0.1575422127444314,-0.28989692413116475
Tenogenic-progenitor,Stromal_other,Tnxb,Itgav_Itgb3,0.4474561226189836,1.0,0.5525438773810164
TSPC,Endothelial,Wnt5a,Vangl2,0.44747565572480513,0.78308902988508,0.33561337416027487
Stromal,Tenogenic-progenitor,Tgfb2,Acvr1_Tgfbr2,0.4475022536898844,0.6356033584894613,0.18810110479957687
Stromal,Tenogenic-progenitor,Tgfb2,Acvr1_Tgfbr1_Tgfbr2,0.4475022536898844,0.5562087477484389,0.10870649405855448
Endothelial,Stromal,Col6a2,Cd44,0.447587075668934,0.9627898563745358,0.5152027807056019
Stromal,Macrophage,Hsp90b1,Tlr7,0.44767104959442855,0.3895493493823244,-0.058121700212104166
Tenogenic-progenitor,Macrophage,Nampt,Itga5_Itgb1,0.447693335023709,0.34308919208558997,-0.10460414293811904
Tenocyte,Endothelial,Col5a3,Itga1_Itgb1,0.447693335023709,0.8589141152794767,0.4112207802557677
TSPC,Stromal,Sfrp1,Fzd2,0.4477479409282972,0.6591417469773461,0.2113938060490489
Macrophage,Smooth_muscle,Col6a1,Itga1_Itgb1,0.44775503237319736,1.0,0.5522449676268026
TSPC,Stromal,Csf1,Sirpa,0.44780255182801304,0.5243552659955965,0.07655271416758341
Tenocyte,Tenogenic-progenitor,Col4a1,Cd44,0.44781689240806716,0.33867528256117685,-0.10914160984689031
TSPC,Stromal,Tgfb1,Acvr1_Tgfbr1_Tgfbr2,0.4478298591511394,0.48509819735983717,0.03726833820869779
TSPC,Stromal,Tgfb1,Tgfbr1_Tgfbr2,0.4478298591511394,0.41535488596340087,-0.03247497318773851
T-FAP,Stromal_other,Mfap5,Notch1,0.44792302449054416,0.4552487456109633,0.007325721120419126
Endothelial,Tenocyte,Lamb1,Itga1,0.4479664145009736,0.5327490724300175,0.08478265792904388
Tenogenic-progenitor,T-FAP,Adam15,Itgav,0.4479664145009736,0.5924898871807766,0.14452347267980298
Endothelial,T-FAP,Lama5,Cd44,0.4480070338291148,0.7285885812418269,0.28058154741271213
Stromal,Stromal_other,Serpine1,Plaur,0.44802104538424686,0.5720673783776666,0.12404633299341977
Smooth_muscle,Endothelial,Col1a1,Cd44,0.44810255344920574,0.9541225152059938,0.506019961756788
Macrophage,Tenocyte,Bsg,Slc16a1,0.448130322141051,0.44560294790743477,-0.0025273742336162086
Endothelial,T-FAP,Plat,Lrp1,0.44817507906603216,0.5455407800883328,0.09736570102230069
Tenogenic-progenitor,Tenocyte,Tgfb3,Acvr1_Tgfbr2,0.44818496801519114,0.6695422049860176,0.22135723697082643
T-FAP,Stromal,Tnc,Sdc1,0.44818496801519114,1.0,0.5518150319848089
Stromal,Stromal_other,Pltp,Abca1,0.4482396188868963,0.7456734969883791,0.29743387810148286
Macrophage,T-FAP,Gnai2,Adcy7,0.44825911496437143,0.504853832246526,0.056594717282154594
Stromal,Stromal_other,Tgfb1,Tgfbr3,0.4482942747564709,0.6173688845619644,0.1690746098054935
Tenogenic-progenitor,Macrophage,Col18a1,Itga5,0.4482942747564709,0.5564952666186475,0.10820099186217658
Endothelial,Tenocyte,App,Notch2,0.4483838616289491,0.2446050286159391,-0.20377883301301
Endothelial,Macrophage,Gpi1,Amfr,0.4484036014904485,0.4496054254497286,0.0012018239592800906
TSPC,Tenocyte,Adam9,Itgb5,0.448446883092129,0.39029851631224466,-0.05814836677988433
Tenogenic-progenitor,Endothelial,Tnfsf13,Fas,0.44850817868816995,0.24012906045928387,-0.20837911822888608
Endothelial,Tenocyte,C1qb,C1qbp,0.44851294821956045,1.0,0.5514870517804396
Macrophage,Stromal_other,Sptan1,Ptpra,0.44851294821956045,0.4441492595989986,-0.004363688620561856
Tenocyte,T-FAP,Ptgs2,Cav1,0.44856762908305414,0.5344769225200033,0.0859092934369492
Tenocyte,TSPC,Lamb2,Dag1,0.4485729409483172,0.40405467085183944,-0.04451827009647774
Tenocyte,Stromal,Apoe,Ldlr,0.448622314946246,0.5665610867011835,0.11793877175493755
Smooth_muscle,Macrophage,Gpi1,Amfr,0.4486770058094407,0.4342842525596986,-0.014392753249742096
Stromal_other,TSPC,Has2,Cd44,0.44867942725470966,0.5535887242295267,0.10490929697481699
T-FAP,Stromal,Gnai2,Igf1r,0.4486990187109312,0.33740010954239985,-0.11129890916853136
Smooth_muscle,TSPC,Tgfb1,Tgfbr1_Tgfbr2,0.44870435311613355,0.5118612973350111,0.06315694421887752
Smooth_muscle,TSPC,Tgfb1,Acvr1_Tgfbr1_Tgfbr2,0.44870435311613355,0.4926682330012926,0.04396387988515904
Stromal,Tenocyte,Tgfb2,Tgfbr1_Tgfbr2,0.4487590514799036,0.6018562722643093,0.15309722078440569
Stromal,Tenocyte,Tgfb2,Acvr1_Tgfbr1_Tgfbr2,0.4487590514799036,0.6018562722643093,0.15309722078440569
Stromal_other,Macrophage,Lamc2,Itga6_Itgb1,0.4487662742575018,0.4113928702661885,-0.037373403991313336
Tenogenic-progenitor,Smooth_muscle,Lama2,Cd44,0.4488251163799565,0.5957072841727492,0.14688216779279273
T-FAP,Macrophage,Col18a1,Itgb5,0.44884110840208713,0.5047214391001209,0.055880330698033776
Stromal,Endothelial,Bgn,Ly96,0.44884761414346525,0.8031452611978469,0.35429764705438166
T-FAP,Endothelial,Lamb1,Dag1,0.4488881726793687,0.6622749508123744,0.21338677813300572
T-FAP,Stromal,Pltp,Abca1,0.44889581926834027,0.5916893154398283,0.142793496171488
TSPC,Endothelial,Cxcl12,Itga5,0.44889581926834027,0.4209570320629908,-0.02793878720534948
Stromal,Endothelial,Angptl2,Itga5_Itgb1,0.4489512339553777,0.3427852840232428,-0.1061659499321349
Stromal_other,Macrophage,Angptl4,Itga5_Itgb1,0.44900525600573105,0.5390014384810544,0.08999618247532337
TSPC,Stromal,Wnt2,Fzd1_Lrp6,0.44900525600573105,0.6423138449514547,0.19330858894572367
Tenocyte,Macrophage,Cd14,Itgb2,0.449023377044669,1.0,0.550976622955331
Smooth_muscle,Tenocyte,Wnt5a,Fzd6,0.4490243557592527,0.6802655168845395,0.2312411611252868
Tenocyte,Stromal,Ang,Egfr,0.4490599818774782,0.41402689550635036,-0.03503308637112784
Stromal_other,T-FAP,Icam1,Cav1,0.4490599818774782,0.4713717845068147,0.02231180262933652
Tenocyte,Stromal,Cxcl12,Itgav,0.44907737143717896,0.47317363552590336,0.024096264088724395
Tenocyte,Smooth_muscle,Hspg2,Fgfr1,0.44909996087572274,0.3781237109877125,-0.07097624988801021
Tenogenic-progenitor,T-FAP,Csf1,Sirpa,0.4491147127516664,0.4663873970119302,0.017272684260263793
Smooth_muscle,T-FAP,Grn,Egfr,0.4491404476429672,0.4442787972217941,-0.0048616504211730915
Smooth_muscle,Smooth_muscle,Lman1,Mcfd2,0.44916944862860075,0.6487914764132432,0.19962202778464244
T-FAP,Stromal,Col6a2,Itga11_Itgb1,0.44918409415955585,0.41085790462659294,-0.03832618953296291
Tenogenic-progenitor,Tenocyte,Col4a2,Itgb5,0.4492035288253443,0.2491554091478412,-0.2000481196775031
Macrophage,TSPC,Hsp90b1,Tlr4,0.4492241895085863,0.6760770515134193,0.22685286200483307
Smooth_muscle,Stromal,Comp,Sdc1,0.4492241895085863,0.7689414531069446,0.31971726359835834
Smooth_muscle,TSPC,Adam12,Sdc4,0.44926823629658796,0.4688213644373113,0.019553128140723353
Macrophage,Stromal_other,Actr2,Ldlr,0.4492789353919264,0.6384929805903408,0.18921404519841434
Smooth_muscle,Stromal,Adam15,Itgav,0.4493884421698946,0.440931577166147,-0.008456865003747593
Stromal,Tenocyte,Efemp1,Egfr,0.4493884421698946,0.518472465490017,0.06908402332012242
Stromal,Tenogenic-progenitor,Cd14,Itgb1,0.44944320306513086,1.0,0.5505567969348691
T-FAP,Macrophage,Angpt1,Itgb1,0.4494979689649431,0.7206930049393812,0.27119503597443806
Stromal_other,T-FAP,C4b,Nrp1,0.4494979689649431,0.42359759204280184,-0.025900376922141255
TSPC,Endothelial,Col1a2,Itga3_Itgb1,0.44954047656205487,0.14070136969338506,-0.3088391068686698
Stromal_other,Tenogenic-progenitor,Fgf2,Fgfrl1,0.44954047656205487,0.6771042994528936,0.22756382289083876
Tenocyte,Smooth_muscle,Lama2,Itga7_Itgb1,0.44955273986963473,0.7731705296377199,0.3236177897680852
T-FAP,Tenogenic-progenitor,Anxa2,Tlr2,0.4496048933766031,0.4765093811350544,0.026904487758451334
TSPC,T-FAP,Lamb2,Dag1,0.4496452364462934,0.2599975836495714,-0.18964765279672202
Endothelial,Tenogenic-progenitor,Itgav,Thy1,0.44966229669487834,0.5514813273800803,0.10181903068520193
Tenocyte,TSPC,Tgfb1,Tgfbr1_Tgfbr2,0.44974447745388885,0.4929298363937106,0.04318535893982173
Tenocyte,TSPC,Tgfb1,Acvr1_Tgfbr1_Tgfbr2,0.44974447745388885,0.47495240508010783,0.025207927626218984
Endothelial,TSPC,Postn,Itgav_Itgb3,0.4497714834128838,0.7781432679661121,0.3283717845532283
Smooth_muscle,Macrophage,Tfpi,Lrp1,0.4497732750356689,0.5191794516740198,0.06940617663835091
Macrophage,Stromal_other,Ptdss1,Scarb1,0.4497985158641287,0.7334217545873559,0.2836232387232272
Endothelial,Stromal_other,Col5a1,Itga11_Itgb1,0.44982666947696714,0.6846660453357603,0.2348393758587931
Stromal,Endothelial,Arf1,Insr,0.44983461436103017,0.4830101626585467,0.03317554829751651
Tenogenic-progenitor,TSPC,Edil3,Itgav,0.44988147041734244,0.5669484568107042,0.11706698639336172
Smooth_muscle,T-FAP,Pam,Dpp4,0.44988147041734244,1.0,0.5501185295826576
Tenocyte,Tenocyte,Col14a1,Itga1_Itgb1,0.44988147041734244,0.3782138552864846,-0.07166761513085784
TSPC,Stromal,Lman1,Mcfd2,0.4498977502857408,0.562917675990144,0.11301992570440317
Tenogenic-progenitor,Smooth_muscle,Tgfb3,Eng,0.449936276364733,0.5715474353270493,0.12161115896231633
Stromal,Macrophage,Lrpap1,Ldlr,0.449936276364733,0.4225606021876142,-0.02737567417711878
Macrophage,Tenocyte,Thbs4,Cd47,0.449941692107382,0.5714826203678822,0.12154092826050023
Stromal,T-FAP,Thbs2,Itgav_Itgb3,0.4500259139229672,1.0,0.5499740860770328
TSPC,Tenogenic-progenitor,Col4a2,Sdc1,0.4500459032817772,0.4737377930014376,0.02369188971966041
Tenocyte,Tenocyte,Qdpr,Dysf,0.45005654110066595,0.3984902581352641,-0.05156628296540183
Stromal,Smooth_muscle,Sema3c,Nrp2_Plxna1,0.4500733131408989,0.6157527477678029,0.165679434626904
Stromal,Smooth_muscle,Sema3c,Nrp1_Plxna1,0.4500733131408989,0.6157527477678029,0.165679434626904
T-FAP,Tenocyte,Plau,Itga5,0.4501007242520409,0.45183458873341903,0.0017338644813781334
Tenocyte,Endothelial,Igf1,Igf1r,0.45011014459169685,0.41046470671844365,-0.0396454378732532
Macrophage,TSPC,Igfbp4,Lrp6,0.45015555023053944,0.7494081644025374,0.299252614171998
Stromal,T-FAP,Inhba,Actr2,0.45015555023053944,1.0,0.5498444497694606
Macrophage,Macrophage,Icam1,Itgam_Itgb2,0.4502135045576746,0.43042741603455764,-0.019786088523116974
Stromal,T-FAP,Wnt5a,Lrp6,0.45026521721345986,0.41448622359478987,-0.035778993618669985
Macrophage,Tenogenic-progenitor,Vegfb,Ret,0.45031455227217776,0.7980201026086834,0.34770555033650563
Stromal,TSPC,Wnt5a,Ryk,0.4503749042329793,0.34830269536013314,-0.10207220887284618
T-FAP,Tenocyte,Ntn1,Neo1,0.4503749042329793,0.5050174330160198,0.054642528783040434
TSPC,TSPC,Tgfb1,Vasn,0.4504030168394491,0.3139040142742651,-0.136499002565184
Tenocyte,T-FAP,Thbs1,Itga2b_Itgb3,0.45044715579794276,1.0,0.5495528442020572
T-FAP,T-FAP,Tln1,Itgb3,0.4504571826481048,1.0,0.5495428173518953
Tenocyte,T-FAP,Angpt1,Itgb1,0.45053947233621855,0.5283865177341837,0.07784704539796511
Tenogenic-progenitor,Stromal_other,Lamb1,Itga1,0.4505581547421356,0.2870327537163121,-0.16352540102582352
Stromal_other,Endothelial,Hgf,Sdc1,0.4505725493791752,0.6717494042495656,0.22117685487039046
Smooth_muscle,Stromal_other,Vtn,Itga2b_Itgb3,0.4505943383915748,1.0,0.5494056616084252
TSPC,Smooth_muscle,Col18a1,Ptprs,0.4505943383915748,0.7664285415279126,0.3158342031363378
Stromal_other,T-FAP,Fbn1,Itgb3,0.45061571451977556,1.0,0.5493842854802244
Tenocyte,Macrophage,Jam3,Itgb1,0.4506492094579109,0.49200016406642677,0.041350954608515844
Tenocyte,Tenogenic-progenitor,Fst,Bmpr2,0.4506492094579109,0.3308932456586956,-0.11975596379921533
Tenogenic-progenitor,Macrophage,Ccl2,Ccr5,0.4506557695533867,1.0,0.5493442304466133
Macrophage,Smooth_muscle,App,Lrp10,0.45070000716034736,0.46869427622573634,0.01799426906538898
Tenogenic-progenitor,Stromal,Dkk2,Lrp6,0.45070408553553176,0.3978922994165437,-0.05281178611898807
Tenogenic-progenitor,Stromal_other,Col4a2,Itgb3,0.45070452896378926,1.0,0.5492954710362108
Stromal,Stromal,Pam,Fap,0.4507821757695518,0.28731516507392807,-0.16346701069562375
Endothelial,Stromal_other,Adam9,Itgb5,0.45081385272585034,0.5033024790687193,0.05248862634286894
Smooth_muscle,Stromal,C1qb,C1qbp,0.45081385272585034,1.0,0.5491861472741497
Endothelial,Tenocyte,Cthrc1,Fzd5,0.45086874383915804,1.0,0.5491312561608419
Macrophage,Stromal_other,Mif,Cd74_Cxcr4,0.45086874383915804,0.7996223710218422,0.34875362718268416
TSPC,Stromal_other,Dkk2,Lrp6,0.45086874383915804,0.44227014598015635,-0.008598597859001689
Tenogenic-progenitor,Tenocyte,Col4a2,Itga10_Itgb1,0.45092363996497076,0.31257169070336593,-0.13835194926160482
TSPC,Smooth_muscle,Mfap2,Notch1,0.45092363996497076,0.5550319990639332,0.10410835909896243
Smooth_muscle,Endothelial,Cthrc1,Fzd6,0.45092415716412054,0.7574009282657321,0.3064767711016116
TSPC,Smooth_muscle,Lgals3bp,Itgb1,0.450952938200606,0.5657341808381539,0.11478124263754785
Stromal_other,Tenocyte,Pdgfc,Pdgfra,0.4509785411035945,0.42432461973986924,-0.02665392136372524
Smooth_muscle,T-FAP,Vtn,Plaur,0.4509785411035945,0.3654942740767863,-0.08548426702680817
TSPC,Tenogenic-progenitor,Mfge8,Pdgfrb,0.45103504792016474,0.4356310982116813,-0.015403949708483466
Endothelial,Endothelial,Jag1,Notch1,0.45108835842049433,0.836176119044863,0.38508776062436867
Stromal,Stromal,Angptl4,Sdc4,0.45109827839910993,0.7160594789450051,0.26496120054589517
Stromal_other,Stromal_other,Ltbp3,Itgb5,0.45116151385456643,0.40724045561193517,-0.04392105824263126
Stromal_other,Stromal,Bgn,Ly96,0.4512059489185369,1.0,0.5487940510814631
TSPC,Tenogenic-progenitor,Ntn1,Neo1,0.4512531219995541,0.4060251435930919,-0.0452279784064622
Macrophage,Macrophage,Tgm2,Itgb1,0.4512879996950003,0.39330620764477286,-0.05798179205022741
T-FAP,Endothelial,Fgf2,Nrp1,0.45130805322145073,0.37130213056024985,-0.08000592266120088
Stromal,Macrophage,Bmp1,Bmpr2,0.45137466699577217,0.49074951757791274,0.039374850582140575
Stromal,T-FAP,Adam15,Itga5,0.4514179307103901,0.4299646222728078,-0.021453308437582308
Smooth_muscle,Tenocyte,Fn1,Nt5e,0.4514590393139526,0.4114087408552934,-0.040050298458659206
Tenocyte,Macrophage,Spon2,Itga4,0.451472876978043,0.4646049558747738,0.013132078896730792
Stromal,TSPC,Mfge8,Itgb3,0.4514777657794092,0.7632679259421503,0.31179016016274114
Macrophage,Tenocyte,Pdgfa,Pdgfra,0.4515278282615587,0.5361470408178038,0.08461921255624516
TSPC,Stromal,Cxcl12,Itga5,0.4515278282615587,0.6334952231285326,0.18196739486697389
Endothelial,Endothelial,Lama4,Itga6_Itgb1,0.45154103109386845,0.300288591233444,-0.15125243986042447
Smooth_muscle,Tenocyte,Col5a3,Sdc3,0.4515434204851654,0.2825067658125837,-0.16903665467258167
Tenocyte,Stromal,Calr,Itga2b,0.45162781050940276,0.5788790144100775,0.12725120390067474
Stromal,Endothelial,Inhba,Actr2,0.45163774587739974,1.0,0.5483622541226003
Tenocyte,Endothelial,Actr2,Adrb2,0.45163774587739974,0.3847385625547277,-0.06689918332267203
Stromal_other,Tenocyte,Pf4,Ldlr,0.45165683092191417,0.3835307442903056,-0.06812608663160857
Smooth_muscle,Tenocyte,Ngf,Maged1,0.45166757665225343,0.5819283322439313,0.13026075559167782
T-FAP,Tenogenic-progenitor,Adam12,Itgb1,0.45171220938665774,0.1670117534098669,-0.28470045597679083
Macrophage,TSPC,Tgfb1,Egfr,0.45179414211657204,0.30577261021091656,-0.14602153190565548
Tenocyte,Endothelial,Gnas,Adrb2,0.4517966171169223,0.2621578677449917,-0.1896387493719306
Stromal_other,Stromal_other,Col5a3,Itga1_Itgb1,0.4518034727489282,0.3649410886692829,-0.0868623840796453
TSPC,Tenocyte,Tnc,Itga5,0.4518576413128643,0.6175065748618612,0.1656489335489969
Endothelial,Stromal_other,Postn,Itgav_Itgb3,0.4518768070515747,1.0,0.5481231929484254
Smooth_muscle,Tenocyte,Agrn,Lrp1,0.4519654591364496,0.35585558618176405,-0.09610987295468554
TSPC,Smooth_muscle,Sema3e,Nrp1,0.451967619137373,0.42261240641431774,-0.029355212723055246
Stromal_other,Smooth_muscle,Vegfa,Nrp2,0.451967619137373,0.5285703070109237,0.07660268787355068
