source,target,ligand_complex,receptor_complex,magnitude_rank_innervated,cellphone_pvals_innervated,cellchat_pvals_innervated,magnitude_rank_denervated,cellphone_pvals_denervated,cellchat_pvals_denervated,delta_rank
Stromal,TSPC,Lum,Itgb1,7.59540663484797e-05,0.0,0.0,0.00011533292173602549,0.0,0.0,3.937885538754579e-05
TSPC,T-FAP,Col1a1,Ddr2,7.834728874153983e-05,0.0,0.0,2.695148387770163e-05,0.0,0.0,-5.139580486383821e-05
Smooth_muscle,TSPC,Sparc,Fgfr1,7.907783599321458e-05,0.0,0.0,8.198314124771943e-05,0.0,0.0,2.9053052545048466e-06
Stromal,TSPC,Timp2,Cd44,9.054735262796719e-05,0.0,0.0,0.00014588097499561696,0.0,0.0,5.5333622367649774e-05
Tenocyte,T-FAP,Fn1,Sdc2,9.378191207128055e-05,0.0,0.0,0.00010395124283847618,0.0,0.0,1.0169330767195633e-05
Stromal,T-FAP,Vim,Cd44,9.681346143598808e-05,0.4,0.29,0.0005566298163337212,1.0,0.96,0.00045981635489773315
Stromal_other,TSPC,Timp2,Cd44,0.00010162534630066131,0.0,0.0,0.00013288529340117915,0.0,0.0,3.125994710051784e-05
TSPC,TSPC,Vcan,Cd44,0.00010689046044527787,0.0,0.0,0.00012984482847160604,0.0,0.0,2.2954368026328173e-05
T-FAP,TSPC,Lum,Itgb1,0.00011387736177943803,0.0,0.0,0.00017231486720692958,0.0,0.0,5.843750542749155e-05
T-FAP,TSPC,Col6a1,Cd44,0.0001254108522567844,0.0,0.0,0.0002795833665201586,0.0,0.0,0.00015417251426337418
Smooth_muscle,TSPC,Lgals1,Itgb1,0.00012607336319587234,0.0,0.0,0.00022214670930590462,0.0,0.0,9.607334611003228e-05
Macrophage,T-FAP,C1qb,Lrp1,0.00012640548732902843,0.0,0.0,0.0001562567029498627,0.0,0.0,2.9851215620834267e-05
Tenocyte,T-FAP,Vim,Cd44,0.0001345515353641918,1.0,0.8,0.0005539973183231841,1.0,0.96,0.0004194457829589923
